"STATISTIC","Statistic Label","TLIST(M1)","Year","C02342V02816","Dwelling Type","UNIT","VALUE"
"NDM01C01","Monthly New Dwelling Completions","201709","2017 September","06","Single house","Number","363"
"NDM01C01","Monthly New Dwelling Completions","201709","2017 September","07","Scheme house","Number","690"
"NDM01C01","Monthly New Dwelling Completions","201709","2017 September","08","Apartment","Number","191"
"NDM01C01","Monthly New Dwelling Completions","201710","2017 October","-","All house types","Number","1198"
"NDM01C01","Monthly New Dwelling Completions","201710","2017 October","06","Single house","Number","318"
"NDM01C01","Monthly New Dwelling Completions","201710","2017 October","07","Scheme house","Number","740"
"NDM01C01","Monthly New Dwelling Completions","201710","2017 October","08","Apartment","Number","140"
"NDM01C01","Monthly New Dwelling Completions","201711","2017 November","-","All house types","Number","1835"
"NDM01C01","Monthly New Dwelling Completions","201711","2017 November","06","Single house","Number","520"
"NDM01C01","Monthly New Dwelling Completions","201711","2017 November","07","Scheme house","Number","1063"
"NDM01C01","Monthly New Dwelling Completions","201711","2017 November","08","Apartment","Number","252"
"NDM01C01","Monthly New Dwelling Completions","201712","2017 December","-","All house types","Number","1498"
"NDM01C01","Monthly New Dwelling Completions","201712","2017 December","06","Single house","Number","378"
"NDM01C01","Monthly New Dwelling Completions","201712","2017 December","07","Scheme house","Number","881"
"NDM01C01","Monthly New Dwelling Completions","201712","2017 December","08","Apartment","Number","239"
"NDM01C01","Monthly New Dwelling Completions","201801","2018 January","-","All house types","Number","1074"
"NDM01C01","Monthly New Dwelling Completions","201801","2018 January","06","Single house","Number","291"
"NDM01C01","Monthly New Dwelling Completions","201801","2018 January","07","Scheme house","Number","627"
"NDM01C01","Monthly New Dwelling Completions","201801","2018 January","08","Apartment","Number","156"
"NDM01C01","Monthly New Dwelling Completions","201802","2018 February","-","All house types","Number","1348"
"NDM01C01","Monthly New Dwelling Completions","201802","2018 February","06","Single house","Number","368"
"NDM01C01","Monthly New Dwelling Completions","201802","2018 February","07","Scheme house","Number","768"
"NDM01C01","Monthly New Dwelling Completions","201802","2018 February","08","Apartment","Number","212"
"NDM01C01","Monthly New Dwelling Completions","201803","2018 March","-","All house types","Number","1009"
"NDM01C01","Monthly New Dwelling Completions","201803","2018 March","06","Single house","Number","300"
"NDM01C01","Monthly New Dwelling Completions","201803","2018 March","07","Scheme house","Number","610"
"NDM01C01","Monthly New Dwelling Completions","201803","2018 March","08","Apartment","Number","99"
"NDM01C01","Monthly New Dwelling Completions","201804","2018 April","-","All house types","Number","1491"
"NDM01C01","Monthly New Dwelling Completions","201804","2018 April","06","Single house","Number","351"
"NDM01C01","Monthly New Dwelling Completions","201804","2018 April","07","Scheme house","Number","936"
"NDM01C01","Monthly New Dwelling Completions","201804","2018 April","08","Apartment","Number","204"
"NDM01C01","Monthly New Dwelling Completions","201805","2018 May","-","All house types","Number","1498"
"NDM01C01","Monthly New Dwelling Completions","201805","2018 May","06","Single house","Number","443"
"NDM01C01","Monthly New Dwelling Completions","201805","2018 May","07","Scheme house","Number","911"
"NDM01C01","Monthly New Dwelling Completions","201805","2018 May","08","Apartment","Number","144"
"NDM01C01","Monthly New Dwelling Completions","201806","2018 June","-","All house types","Number","1363"
"NDM01C01","Monthly New Dwelling Completions","201806","2018 June","06","Single house","Number","348"
"NDM01C01","Monthly New Dwelling Completions","201806","2018 June","07","Scheme house","Number","903"
"NDM01C01","Monthly New Dwelling Completions","201806","2018 June","08","Apartment","Number","112"
"NDM01C01","Monthly New Dwelling Completions","201807","2018 July","-","All house types","Number","1537"
"NDM01C01","Monthly New Dwelling Completions","201807","2018 July","06","Single house","Number","403"
"NDM01C01","Monthly New Dwelling Completions","201807","2018 July","07","Scheme house","Number","996"
"NDM01C01","Monthly New Dwelling Completions","201807","2018 July","08","Apartment","Number","138"
"NDM01C01","Monthly New Dwelling Completions","201808","2018 August","-","All house types","Number","1432"
"NDM01C01","Monthly New Dwelling Completions","201808","2018 August","06","Single house","Number","439"
"NDM01C01","Monthly New Dwelling Completions","201808","2018 August","07","Scheme house","Number","869"
"NDM01C01","Monthly New Dwelling Completions","201808","2018 August","08","Apartment","Number","124"
"NDM01C01","Monthly New Dwelling Completions","201809","2018 September","-","All house types","Number","1626"
"NDM01C01","Monthly New Dwelling Completions","201809","2018 September","06","Single house","Number","357"
"NDM01C01","Monthly New Dwelling Completions","201809","2018 September","07","Scheme house","Number","962"
"NDM01C01","Monthly New Dwelling Completions","201809","2018 September","08","Apartment","Number","307"
"NDM01C01","Monthly New Dwelling Completions","201810","2018 October","-","All house types","Number","1704"
"NDM01C01","Monthly New Dwelling Completions","201810","2018 October","06","Single house","Number","440"
"NDM01C01","Monthly New Dwelling Completions","201810","2018 October","07","Scheme house","Number","1053"
"NDM01C01","Monthly New Dwelling Completions","201810","2018 October","08","Apartment","Number","211"
"NDM01C01","Monthly New Dwelling Completions","201811","2018 November","-","All house types","Number","2109"
"NDM01C01","Monthly New Dwelling Completions","201811","2018 November","06","Single house","Number","490"
"NDM01C01","Monthly New Dwelling Completions","201811","2018 November","07","Scheme house","Number","1291"
"NDM01C01","Monthly New Dwelling Completions","201811","2018 November","08","Apartment","Number","328"
"NDM01C01","Monthly New Dwelling Completions","201812","2018 December","-","All house types","Number","1591"
"NDM01C01","Monthly New Dwelling Completions","201812","2018 December","06","Single house","Number","408"
"NDM01C01","Monthly New Dwelling Completions","201812","2018 December","07","Scheme house","Number","1018"
"NDM01C01","Monthly New Dwelling Completions","201812","2018 December","08","Apartment","Number","165"
"NDM01C01","Monthly New Dwelling Completions","201901","2019 January","-","All house types","Number","1297"
"NDM01C01","Monthly New Dwelling Completions","201901","2019 January","06","Single house","Number","307"
"NDM01C01","Monthly New Dwelling Completions","201901","2019 January","07","Scheme house","Number","800"
"NDM01C01","Monthly New Dwelling Completions","201901","2019 January","08","Apartment","Number","190"
"NDM01C01","Monthly New Dwelling Completions","201902","2019 February","-","All house types","Number","1367"
"NDM01C01","Monthly New Dwelling Completions","201902","2019 February","06","Single house","Number","374"
"NDM01C01","Monthly New Dwelling Completions","201902","2019 February","07","Scheme house","Number","830"
"NDM01C01","Monthly New Dwelling Completions","201902","2019 February","08","Apartment","Number","163"
"NDM01C01","Monthly New Dwelling Completions","201903","2019 March","-","All house types","Number","1557"
"NDM01C01","Monthly New Dwelling Completions","201903","2019 March","06","Single house","Number","409"
"NDM01C01","Monthly New Dwelling Completions","201903","2019 March","07","Scheme house","Number","933"
"NDM01C01","Monthly New Dwelling Completions","201903","2019 March","08","Apartment","Number","215"
"NDM01C01","Monthly New Dwelling Completions","201904","2019 April","-","All house types","Number","1458"
"NDM01C01","Monthly New Dwelling Completions","201904","2019 April","06","Single house","Number","404"
"NDM01C01","Monthly New Dwelling Completions","201904","2019 April","07","Scheme house","Number","889"
"NDM01C01","Monthly New Dwelling Completions","201904","2019 April","08","Apartment","Number","165"
"NDM01C01","Monthly New Dwelling Completions","201905","2019 May","-","All house types","Number","1584"
"NDM01C01","Monthly New Dwelling Completions","201905","2019 May","06","Single house","Number","470"
"NDM01C01","Monthly New Dwelling Completions","201905","2019 May","07","Scheme house","Number","948"
"NDM01C01","Monthly New Dwelling Completions","201905","2019 May","08","Apartment","Number","166"
"NDM01C01","Monthly New Dwelling Completions","201906","2019 June","-","All house types","Number","1750"
"NDM01C01","Monthly New Dwelling Completions","201906","2019 June","06","Single house","Number","448"
"NDM01C01","Monthly New Dwelling Completions","201906","2019 June","07","Scheme house","Number","994"
"NDM01C01","Monthly New Dwelling Completions","201906","2019 June","08","Apartment","Number","308"
"NDM01C01","Monthly New Dwelling Completions","201907","2019 July","-","All house types","Number","1995"
"NDM01C01","Monthly New Dwelling Completions","201907","2019 July","06","Single house","Number","433"
"NDM01C01","Monthly New Dwelling Completions","201907","2019 July","07","Scheme house","Number","1172"
"NDM01C01","Monthly New Dwelling Completions","201907","2019 July","08","Apartment","Number","390"
"NDM01C01","Monthly New Dwelling Completions","201908","2019 August","-","All house types","Number","1785"
"NDM01C01","Monthly New Dwelling Completions","201908","2019 August","06","Single house","Number","399"
"NDM01C01","Monthly New Dwelling Completions","201908","2019 August","07","Scheme house","Number","1075"
"NDM01C01","Monthly New Dwelling Completions","201908","2019 August","08","Apartment","Number","311"
"NDM01C01","Monthly New Dwelling Completions","201909","2019 September","-","All house types","Number","1824"
"NDM01C01","Monthly New Dwelling Completions","201909","2019 September","06","Single house","Number","422"
"NDM01C01","Monthly New Dwelling Completions","201909","2019 September","07","Scheme house","Number","1064"
"NDM01C01","Monthly New Dwelling Completions","201909","2019 September","08","Apartment","Number","338"
"NDM01C01","Monthly New Dwelling Completions","201910","2019 October","-","All house types","Number","2430"
"NDM01C01","Monthly New Dwelling Completions","201910","2019 October","06","Single house","Number","515"
"NDM01C01","Monthly New Dwelling Completions","201910","2019 October","07","Scheme house","Number","1371"
"NDM01C01","Monthly New Dwelling Completions","201910","2019 October","08","Apartment","Number","544"
"NDM01C01","Monthly New Dwelling Completions","201911","2019 November","-","All house types","Number","2170"
"NDM01C01","Monthly New Dwelling Completions","201911","2019 November","06","Single house","Number","444"
"NDM01C01","Monthly New Dwelling Completions","201911","2019 November","07","Scheme house","Number","1404"
"NDM01C01","Monthly New Dwelling Completions","201911","2019 November","08","Apartment","Number","322"
"NDM01C01","Monthly New Dwelling Completions","201912","2019 December","-","All house types","Number","1806"
"NDM01C01","Monthly New Dwelling Completions","201912","2019 December","06","Single house","Number","453"
"NDM01C01","Monthly New Dwelling Completions","201912","2019 December","07","Scheme house","Number","1047"
"NDM01C01","Monthly New Dwelling Completions","201912","2019 December","08","Apartment","Number","306"
"NDM01C01","Monthly New Dwelling Completions","202001","2020 January","-","All house types","Number","1597"
"NDM01C01","Monthly New Dwelling Completions","202001","2020 January","06","Single house","Number","286"
"NDM01C01","Monthly New Dwelling Completions","202001","2020 January","07","Scheme house","Number","844"
"NDM01C01","Monthly New Dwelling Completions","202001","2020 January","08","Apartment","Number","467"
"NDM01C01","Monthly New Dwelling Completions","202002","2020 February","-","All house types","Number","1569"
"NDM01C01","Monthly New Dwelling Completions","202002","2020 February","06","Single house","Number","357"
"NDM01C01","Monthly New Dwelling Completions","202002","2020 February","07","Scheme house","Number","934"
"NDM01C01","Monthly New Dwelling Completions","202002","2020 February","08","Apartment","Number","278"
"NDM01C01","Monthly New Dwelling Completions","202003","2020 March","-","All house types","Number","1763"
"NDM01C01","Monthly New Dwelling Completions","202003","2020 March","06","Single house","Number","463"
"NDM01C01","Monthly New Dwelling Completions","202003","2020 March","07","Scheme house","Number","1060"
"NDM01C01","Monthly New Dwelling Completions","202003","2020 March","08","Apartment","Number","240"
"NDM01C01","Monthly New Dwelling Completions","202004","2020 April","-","All house types","Number","388"
"NDM01C01","Monthly New Dwelling Completions","202004","2020 April","06","Single house","Number","181"
"NDM01C01","Monthly New Dwelling Completions","202004","2020 April","07","Scheme house","Number","180"
"NDM01C01","Monthly New Dwelling Completions","202004","2020 April","08","Apartment","Number","27"
"NDM01C01","Monthly New Dwelling Completions","202005","2020 May","-","All house types","Number","1221"
"NDM01C01","Monthly New Dwelling Completions","202005","2020 May","06","Single house","Number","263"
"NDM01C01","Monthly New Dwelling Completions","202005","2020 May","07","Scheme house","Number","731"
"NDM01C01","Monthly New Dwelling Completions","202005","2020 May","08","Apartment","Number","227"
"NDM01C01","Monthly New Dwelling Completions","202006","2020 June","-","All house types","Number","1614"
"NDM01C01","Monthly New Dwelling Completions","202006","2020 June","06","Single house","Number","428"
"NDM01C01","Monthly New Dwelling Completions","202006","2020 June","07","Scheme house","Number","924"
"NDM01C01","Monthly New Dwelling Completions","202006","2020 June","08","Apartment","Number","262"
"NDM01C01","Monthly New Dwelling Completions","202007","2020 July","-","All house types","Number","1773"
"NDM01C01","Monthly New Dwelling Completions","202007","2020 July","06","Single house","Number","540"
"NDM01C01","Monthly New Dwelling Completions","202007","2020 July","07","Scheme house","Number","1014"
"NDM01C01","Monthly New Dwelling Completions","202007","2020 July","08","Apartment","Number","219"
"NDM01C01","Monthly New Dwelling Completions","202008","2020 August","-","All house types","Number","1360"
"NDM01C01","Monthly New Dwelling Completions","202008","2020 August","06","Single house","Number","429"
"NDM01C01","Monthly New Dwelling Completions","202008","2020 August","07","Scheme house","Number","755"
"NDM01C01","Monthly New Dwelling Completions","202008","2020 August","08","Apartment","Number","176"
"NDM01C01","Monthly New Dwelling Completions","202009","2020 September","-","All house types","Number","1893"
"NDM01C01","Monthly New Dwelling Completions","202009","2020 September","06","Single house","Number","485"
"NDM01C01","Monthly New Dwelling Completions","202009","2020 September","07","Scheme house","Number","1100"
"NDM01C01","Monthly New Dwelling Completions","202009","2020 September","08","Apartment","Number","308"
"NDM01C01","Monthly New Dwelling Completions","202010","2020 October","-","All house types","Number","2422"
"NDM01C01","Monthly New Dwelling Completions","202010","2020 October","06","Single house","Number","545"
"NDM01C01","Monthly New Dwelling Completions","202010","2020 October","07","Scheme house","Number","1166"
"NDM01C01","Monthly New Dwelling Completions","202010","2020 October","08","Apartment","Number","711"
"NDM01C01","Monthly New Dwelling Completions","202011","2020 November","-","All house types","Number","2818"
"NDM01C01","Monthly New Dwelling Completions","202011","2020 November","06","Single house","Number","480"
"NDM01C01","Monthly New Dwelling Completions","202011","2020 November","07","Scheme house","Number","1851"
"NDM01C01","Monthly New Dwelling Completions","202011","2020 November","08","Apartment","Number","487"
"NDM01C01","Monthly New Dwelling Completions","202012","2020 December","-","All house types","Number","2069"
"NDM01C01","Monthly New Dwelling Completions","202012","2020 December","06","Single house","Number","495"
"NDM01C01","Monthly New Dwelling Completions","202012","2020 December","07","Scheme house","Number","1110"
"NDM01C01","Monthly New Dwelling Completions","202012","2020 December","08","Apartment","Number","464"
"NDM01C01","Monthly New Dwelling Completions","202101","2021 January","-","All house types","Number","1195"
"NDM01C01","Monthly New Dwelling Completions","202101","2021 January","06","Single house","Number","323"
"NDM01C01","Monthly New Dwelling Completions","202101","2021 January","07","Scheme house","Number","735"
"NDM01C01","Monthly New Dwelling Completions","202101","2021 January","08","Apartment","Number","137"
"NDM01C01","Monthly New Dwelling Completions","202102","2021 February","-","All house types","Number","1396"
"NDM01C01","Monthly New Dwelling Completions","202102","2021 February","06","Single house","Number","306"
"NDM01C01","Monthly New Dwelling Completions","202102","2021 February","07","Scheme house","Number","829"
"NDM01C01","Monthly New Dwelling Completions","202102","2021 February","08","Apartment","Number","261"
"NDM01C01","Monthly New Dwelling Completions","202103","2021 March","-","All house types","Number","1366"
"NDM01C01","Monthly New Dwelling Completions","202103","2021 March","06","Single house","Number","348"
"NDM01C01","Monthly New Dwelling Completions","202103","2021 March","07","Scheme house","Number","695"
"NDM01C01","Monthly New Dwelling Completions","202103","2021 March","08","Apartment","Number","323"
"NDM01C01","Monthly New Dwelling Completions","202104","2021 April","-","All house types","Number","1446"
"NDM01C01","Monthly New Dwelling Completions","202104","2021 April","06","Single house","Number","373"
"NDM01C01","Monthly New Dwelling Completions","202104","2021 April","07","Scheme house","Number","769"
"NDM01C01","Monthly New Dwelling Completions","202104","2021 April","08","Apartment","Number","304"
"NDM01C01","Monthly New Dwelling Completions","202105","2021 May","-","All house types","Number","1546"
"NDM01C01","Monthly New Dwelling Completions","202105","2021 May","06","Single house","Number","389"
"NDM01C01","Monthly New Dwelling Completions","202105","2021 May","07","Scheme house","Number","822"
"NDM01C01","Monthly New Dwelling Completions","202105","2021 May","08","Apartment","Number","335"
"NDM01C01","Monthly New Dwelling Completions","202106","2021 June","-","All house types","Number","1966"
"NDM01C01","Monthly New Dwelling Completions","202106","2021 June","06","Single house","Number","394"
"NDM01C01","Monthly New Dwelling Completions","202106","2021 June","07","Scheme house","Number","939"
"NDM01C01","Monthly New Dwelling Completions","202106","2021 June","08","Apartment","Number","633"
"NDM01C01","Monthly New Dwelling Completions","202107","2021 July","-","All house types","Number","1481"
"NDM01C01","Monthly New Dwelling Completions","202107","2021 July","06","Single house","Number","394"
"NDM01C01","Monthly New Dwelling Completions","202107","2021 July","07","Scheme house","Number","730"
"NDM01C01","Monthly New Dwelling Completions","202107","2021 July","08","Apartment","Number","357"
"NDM01C01","Monthly New Dwelling Completions","202108","2021 August","-","All house types","Number","1432"
"NDM01C01","Monthly New Dwelling Completions","202108","2021 August","06","Single house","Number","400"
"NDM01C01","Monthly New Dwelling Completions","202108","2021 August","07","Scheme house","Number","907"
"NDM01C01","Monthly New Dwelling Completions","202108","2021 August","08","Apartment","Number","125"
"NDM01C01","Monthly New Dwelling Completions","202109","2021 September","-","All house types","Number","1711"
"NDM01C01","Monthly New Dwelling Completions","202109","2021 September","06","Single house","Number","401"
"NDM01C01","Monthly New Dwelling Completions","202109","2021 September","07","Scheme house","Number","839"
"NDM01C01","Monthly New Dwelling Completions","202109","2021 September","08","Apartment","Number","471"
"NDM01C01","Monthly New Dwelling Completions","202110","2021 October","-","All house types","Number","2297"
"NDM01C01","Monthly New Dwelling Completions","202110","2021 October","06","Single house","Number","449"
"NDM01C01","Monthly New Dwelling Completions","202110","2021 October","07","Scheme house","Number","1120"
"NDM01C01","Monthly New Dwelling Completions","202110","2021 October","08","Apartment","Number","728"
"NDM01C01","Monthly New Dwelling Completions","202111","2021 November","-","All house types","Number","2636"
"NDM01C01","Monthly New Dwelling Completions","202111","2021 November","06","Single house","Number","486"
"NDM01C01","Monthly New Dwelling Completions","202111","2021 November","07","Scheme house","Number","1379"
"NDM01C01","Monthly New Dwelling Completions","202111","2021 November","08","Apartment","Number","771"
"NDM01C01","Monthly New Dwelling Completions","202112","2021 December","-","All house types","Number","1979"
"NDM01C01","Monthly New Dwelling Completions","202112","2021 December","06","Single house","Number","446"
"NDM01C01","Monthly New Dwelling Completions","202112","2021 December","07","Scheme house","Number","907"
"NDM01C01","Monthly New Dwelling Completions","202112","2021 December","08","Apartment","Number","626"
"NDM01C01","Monthly New Dwelling Completions","202201","2022 January","-","All house types","Number","1782"
"NDM01C01","Monthly New Dwelling Completions","202201","2022 January","06","Single house","Number","327"
"NDM01C01","Monthly New Dwelling Completions","202201","2022 January","07","Scheme house","Number","911"
"NDM01C01","Monthly New Dwelling Completions","202201","2022 January","08","Apartment","Number","544"
"NDM01C01","Monthly New Dwelling Completions","202202","2022 February","-","All house types","Number","1604"
"NDM01C01","Monthly New Dwelling Completions","202202","2022 February","06","Single house","Number","362"
"NDM01C01","Monthly New Dwelling Completions","202202","2022 February","07","Scheme house","Number","804"
"NDM01C01","Monthly New Dwelling Completions","202202","2022 February","08","Apartment","Number","438"
"NDM01C01","Monthly New Dwelling Completions","202203","2022 March","-","All house types","Number","2206"
"NDM01C01","Monthly New Dwelling Completions","202203","2022 March","06","Single house","Number","415"
"NDM01C01","Monthly New Dwelling Completions","202203","2022 March","07","Scheme house","Number","1084"
"NDM01C01","Monthly New Dwelling Completions","202203","2022 March","08","Apartment","Number","707"
"NDM01C01","Monthly New Dwelling Completions","202204","2022 April","-","All house types","Number","1986"
"NDM01C01","Monthly New Dwelling Completions","202204","2022 April","06","Single house","Number","408"
"NDM01C01","Monthly New Dwelling Completions","202204","2022 April","07","Scheme house","Number","1147"
"NDM01C01","Monthly New Dwelling Completions","202204","2022 April","08","Apartment","Number","431"
"NDM01C01","Monthly New Dwelling Completions","202205","2022 May","-","All house types","Number","3118"
"NDM01C01","Monthly New Dwelling Completions","202205","2022 May","06","Single house","Number","476"
"NDM01C01","Monthly New Dwelling Completions","202205","2022 May","07","Scheme house","Number","1515"
"NDM01C01","Monthly New Dwelling Completions","202205","2022 May","08","Apartment","Number","1127"
"NDM01C01","Monthly New Dwelling Completions","202206","2022 June","-","All house types","Number","2475"
"NDM01C01","Monthly New Dwelling Completions","202206","2022 June","06","Single house","Number","444"
"NDM01C01","Monthly New Dwelling Completions","202206","2022 June","07","Scheme house","Number","1272"
"NDM01C01","Monthly New Dwelling Completions","202206","2022 June","08","Apartment","Number","759"
"NDM01C01","Monthly New Dwelling Completions","202207","2022 July","-","All house types","Number","2676"
"NDM01C01","Monthly New Dwelling Completions","202207","2022 July","06","Single house","Number","493"
"NDM01C01","Monthly New Dwelling Completions","202207","2022 July","07","Scheme house","Number","1315"
"NDM01C01","Monthly New Dwelling Completions","202207","2022 July","08","Apartment","Number","868"
"NDM01C01","Monthly New Dwelling Completions","202208","2022 August","-","All house types","Number","2538"
"NDM01C01","Monthly New Dwelling Completions","202208","2022 August","06","Single house","Number","507"
"NDM01C01","Monthly New Dwelling Completions","202208","2022 August","07","Scheme house","Number","1064"
"NDM01C01","Monthly New Dwelling Completions","202208","2022 August","08","Apartment","Number","967"
"NDM01C01","Monthly New Dwelling Completions","202209","2022 September","-","All house types","Number","2151"
"NDM01C01","Monthly New Dwelling Completions","202209","2022 September","06","Single house","Number","514"
"NDM01C01","Monthly New Dwelling Completions","202209","2022 September","07","Scheme house","Number","1196"
"NDM01C01","Monthly New Dwelling Completions","202209","2022 September","08","Apartment","Number","441"
"NDM01C01","Monthly New Dwelling Completions","202210","2022 October","-","All house types","Number","2953"
"NDM01C01","Monthly New Dwelling Completions","202210","2022 October","06","Single house","Number","498"
"NDM01C01","Monthly New Dwelling Completions","202210","2022 October","07","Scheme house","Number","1494"
"NDM01C01","Monthly New Dwelling Completions","202210","2022 October","08","Apartment","Number","961"
"NDM01C01","Monthly New Dwelling Completions","202211","2022 November","-","All house types","Number","3601"
"NDM01C01","Monthly New Dwelling Completions","202211","2022 November","06","Single house","Number","510"
"NDM01C01","Monthly New Dwelling Completions","202211","2022 November","07","Scheme house","Number","2021"
"NDM01C01","Monthly New Dwelling Completions","202211","2022 November","08","Apartment","Number","1070"
"NDM01C01","Monthly New Dwelling Completions","202212","2022 December","-","All house types","Number","2524"
"NDM01C01","Monthly New Dwelling Completions","202212","2022 December","06","Single house","Number","507"
"NDM01C01","Monthly New Dwelling Completions","202212","2022 December","07","Scheme house","Number","1308"
"NDM01C01","Monthly New Dwelling Completions","202212","2022 December","08","Apartment","Number","709"
"NDM01C01","Monthly New Dwelling Completions","202301","2023 January","-","All house types","Number","1871"
"NDM01C01","Monthly New Dwelling Completions","202301","2023 January","06","Single house","Number","334"
"NDM01C01","Monthly New Dwelling Completions","202301","2023 January","07","Scheme house","Number","804"
"NDM01C01","Monthly New Dwelling Completions","202301","2023 January","08","Apartment","Number","733"
"NDM01C01","Monthly New Dwelling Completions","202302","2023 February","-","All house types","Number","2128"
"NDM01C01","Monthly New Dwelling Completions","202302","2023 February","06","Single house","Number","393"
"NDM01C01","Monthly New Dwelling Completions","202302","2023 February","07","Scheme house","Number","1097"
"NDM01C01","Monthly New Dwelling Completions","202302","2023 February","08","Apartment","Number","638"
"NDM01C01","Monthly New Dwelling Completions","202303","2023 March","-","All house types","Number","2627"
"NDM01C01","Monthly New Dwelling Completions","202303","2023 March","06","Single house","Number","446"
"NDM01C01","Monthly New Dwelling Completions","202303","2023 March","07","Scheme house","Number","1179"
"NDM01C01","Monthly New Dwelling Completions","202303","2023 March","08","Apartment","Number","1002"
"NDM01C01","Monthly New Dwelling Completions","202304","2023 April","-","All house types","Number","2097"
"NDM01C01","Monthly New Dwelling Completions","202304","2023 April","06","Single house","Number","421"
"NDM01C01","Monthly New Dwelling Completions","202304","2023 April","07","Scheme house","Number","1174"
"NDM01C01","Monthly New Dwelling Completions","202304","2023 April","08","Apartment","Number","502"
"NDM01C01","Monthly New Dwelling Completions","202305","2023 May","-","All house types","Number","2671"
"NDM01C01","Monthly New Dwelling Completions","202305","2023 May","06","Single house","Number","528"
"NDM01C01","Monthly New Dwelling Completions","202305","2023 May","07","Scheme house","Number","1590"
"NDM01C01","Monthly New Dwelling Completions","202305","2023 May","08","Apartment","Number","553"
"NDM01C01","Monthly New Dwelling Completions","202306","2023 June","-","All house types","Number","2488"
"NDM01C01","Monthly New Dwelling Completions","202306","2023 June","06","Single house","Number","452"
"NDM01C01","Monthly New Dwelling Completions","202306","2023 June","07","Scheme house","Number","1254"
"NDM01C01","Monthly New Dwelling Completions","202306","2023 June","08","Apartment","Number","782"
"NDM01C01","Monthly New Dwelling Completions","202307","2023 July","-","All house types","Number","2546"
"NDM01C01","Monthly New Dwelling Completions","202307","2023 July","06","Single house","Number","460"
"NDM01C01","Monthly New Dwelling Completions","202307","2023 July","07","Scheme house","Number","1110"
"NDM01C01","Monthly New Dwelling Completions","202307","2023 July","08","Apartment","Number","976"
"NDM01C01","Monthly New Dwelling Completions","202308","2023 August","-","All house types","Number","3040"
"NDM01C01","Monthly New Dwelling Completions","202308","2023 August","06","Single house","Number","513"
"NDM01C01","Monthly New Dwelling Completions","202308","2023 August","07","Scheme house","Number","1207"
"NDM01C01","Monthly New Dwelling Completions","202308","2023 August","08","Apartment","Number","1320"
"NDM01C01","Monthly New Dwelling Completions","202309","2023 September","-","All house types","Number","2803"
"NDM01C01","Monthly New Dwelling Completions","202309","2023 September","06","Single house","Number","445"
"NDM01C01","Monthly New Dwelling Completions","202309","2023 September","07","Scheme house","Number","1325"
"NDM01C01","Monthly New Dwelling Completions","202309","2023 September","08","Apartment","Number","1033"
"NDM01C01","Monthly New Dwelling Completions","202310","2023 October","-","All house types","Number","3004"
"NDM01C01","Monthly New Dwelling Completions","202310","2023 October","06","Single house","Number","474"
"NDM01C01","Monthly New Dwelling Completions","202310","2023 October","07","Scheme house","Number","1537"
"NDM01C01","Monthly New Dwelling Completions","202310","2023 October","08","Apartment","Number","993"
"NDM01C01","Monthly New Dwelling Completions","202311","2023 November","-","All house types","Number","4457"
"NDM01C01","Monthly New Dwelling Completions","202311","2023 November","06","Single house","Number","510"
"NDM01C01","Monthly New Dwelling Completions","202311","2023 November","07","Scheme house","Number","1931"
"NDM01C01","Monthly New Dwelling Completions","202311","2023 November","08","Apartment","Number","2016"
"NDM01C01","Monthly New Dwelling Completions","202312","2023 December","-","All house types","Number","2741"
"NDM01C01","Monthly New Dwelling Completions","202312","2023 December","06","Single house","Number","483"
"NDM01C01","Monthly New Dwelling Completions","202312","2023 December","07","Scheme house","Number","1282"
"NDM01C01","Monthly New Dwelling Completions","202312","2023 December","08","Apartment","Number","976"
"NDM01C01","Monthly New Dwelling Completions","202401","2024 January","-","All house types","Number","1815"
"NDM01C01","Monthly New Dwelling Completions","202401","2024 January","06","Single house","Number","345"
"NDM01C01","Monthly New Dwelling Completions","202401","2024 January","07","Scheme house","Number","849"
"NDM01C01","Monthly New Dwelling Completions","202401","2024 January","08","Apartment","Number","621"
"NDM01C01","Monthly New Dwelling Completions","202402","2024 February","-","All house types","Number","2109"
"NDM01C01","Monthly New Dwelling Completions","202402","2024 February","06","Single house","Number","422"
"NDM01C01","Monthly New Dwelling Completions","202402","2024 February","07","Scheme house","Number","1093"
"NDM01C01","Monthly New Dwelling Completions","202402","2024 February","08","Apartment","Number","594"
"NDM01C01","Monthly New Dwelling Completions","202403","2024 March","-","All house types","Number","1871"
"NDM01C01","Monthly New Dwelling Completions","202403","2024 March","06","Single house","Number","397"
"NDM01C01","Monthly New Dwelling Completions","202403","2024 March","07","Scheme house","Number","1129"
"NDM01C01","Monthly New Dwelling Completions","202403","2024 March","08","Apartment","Number","345"
"NDM01C01","Monthly New Dwelling Completions","202404","2024 April","-","All house types","Number","2280"
"NDM01C01","Monthly New Dwelling Completions","202404","2024 April","06","Single house","Number","469"
"NDM01C01","Monthly New Dwelling Completions","202404","2024 April","07","Scheme house","Number","1251"
"NDM01C01","Monthly New Dwelling Completions","202404","2024 April","08","Apartment","Number","560"
"NDM01C01","Monthly New Dwelling Completions","202405","2024 May","-","All house types","Number","2358"
"NDM01C01","Monthly New Dwelling Completions","202405","2024 May","06","Single house","Number","481"
"NDM01C01","Monthly New Dwelling Completions","202405","2024 May","07","Scheme house","Number","1381"
"NDM01C01","Monthly New Dwelling Completions","202405","2024 May","08","Apartment","Number","496"
